cup,bra,bust,underbust
AA,30,77,67
AA,32,82,72
AA,34,87,77
AA,36,92,82
AA,38,97,87
AA,40,102,92
A,30,79,67
A,32,84,72
A,34,89,77
A,36,94,82
A,38,99,87
A,40,104,92
A,42,109,97
A,44,114,102
A,46,119,107
A,48,124,112
A,50,129,117
B,30,81,67
B,32,86,72
B,34,91,77
B,36,96,82
B,38,101,87
B,40,106,92
B,42,111,97
B,44,116,102
B,46,121,107
B,48,126,112
B,50,131,117
C,30,83,67
C,32,88,72
C,34,93,77
C,36,98,82
C,38,103,87
C,40,108,92
C,42,113,97
C,44,118,102
C,46,123,107
C,48,128,112
C,50,133,117
D,30,85,67
D,32,90,72
D,34,95,77
D,36,100,82
D,38,105,87
D,40,110,92
D,42,115,97
D,44,120,102
D,46,125,107
D,48,130,112
D,50,135,117
E,30,87,67
E,32,92,72
E,34,97,77
E,36,102,82
E,38,107,87
E,40,112,92
E,42,117,97
E,44,122,102
E,46,127,107
E,48,134,112
E,50,137,117
F,30,89,67
F,32,99,72
F,34,101,77
F,36,104,82
F,38,109,87
F,40,114,92
F,42,119,97
F,44,124,102
F,46,129,107
F,48,136,112
F,50,139,117
G,30,91,67
G,32,96,72
G,34,101,77
G,36,106,82
G,38,111,87
G,40,116,92
G,42,121,97
G,44,126,102
G,46,131,107
G,48,138,112
G,50,141,117
H,30,93,67
H,32,98,72
H,34,103,77
H,36,108,82
H,38,113,87
H,40,118,92
H,42,123,97
H,44,128,102
H,46,133,107
H,48,142,112
H,50,143,117
I,30,93,67
I,32,98,72
I,34,103,77
I,36,108,82
I,38,113,87
I,40,118,92
I,42,123,97
I,44,128,102
I,46,133,107
I,48,142,112
I,50,143,117
J,30,97,67
J,32,102,72
J,34,107,77
J,36,112,82
J,38,117,87
J,40,122,92
J,42,127,97
J,44,132,102
J,46,137,107
J,48,146,112
J,50,147,117
K,30,99,67
K,32,104,72
K,34,109,77
K,36,114,82
K,38,119,87
K,40,124,92
K,42,129,97
K,44,134,102
K,46,139,107
K,48,148,112
K,50,150,117
