size,length,waist,inside leg
26,short ,66,76
26,regular ,66,81
26,long,66,86
28,short ,71,76
28,regular ,71,81
28,long,71,86
29,short ,73,76
29,regular ,73,81
29,long,73,86
30,short ,76,76
30,regular ,76,81
30,long,76,86
31,short ,79,76
31,regular ,79,81
31,long,79,86
32,short ,81,76
32,regular ,81,81
32,long,81,86
33,short ,84,76
33,regular ,84,81
33,long,84,86
34,short ,86,76
34,regular ,86,81
34,long,86,86
36,short ,91,76
36,regular ,91,81
36,long,91,86
38,short ,96,76
38,regular ,96,81
38,long,96,86
40,short ,101,76
40,regular ,101,81
40,long,101,86
42,short ,107,76
42,regular ,107,81
42,long,107,86
44,short ,112,76
44,regular ,112,81
44,long,112,86
46,short ,117,76
46,regular ,117,81
46,long,117,86
48,short ,122,76
48,regular ,122,81
48,long,122,86
